genre,artist,track,song_id
Reggaeton,"Héctor ""El Father""",El Teléfono,614NVFo5csQqRnryl4jXs2
Reggaeton,Don Omar,Dile,69Ej1xrGjOcHvIMtMKxK0G
Reggaeton,J Alvarez,Luz Prendia - Reloaded,6myYePkCSAiDUBJtNp4jVg
Reggaeton,Marc Magán,ALTAMAR - Remix,06455EyunGQm3ytRvTEoWc
Reggaeton,Wisin & Yandel,Pam Pam,2NKRbRdRIcaGCXTq7xEpWV
Reggaeton,ELENA ROSE,TUTUTU,6Og7yuXfE5KyE8dSHU8yap
Reggaeton,Zion & Lennox,La player (Bandolera),0VKkyBKCXyR99navhVRqcP
Reggaeton,El Malilla,Balenciaga,4VGFK69hVzkQ4K5qR4ypdF
Reggaeton,Don Omar,Dale Don Dale,1PZrHbJjt5t7dP9OGRxcD0
Reggaeton,Aventura,Ella Y Yo - Featuring Don Omar,6G4U9avyBNEfP0fAIduev3
Reggaeton,Fer Ariza,VUELA ALTO,5L0J5ypqXV2OR7xpK2qLap
Reggaeton,Tego Calderón,Pa' Que Retozen,5YJ4BVvTFmVCxUyhKejHfR
Reggaeton,Boy Wonder CF,Texteando,3rKpnMQ8ko9X116yIj5V9S
Reggaeton,Fuego,Una Vaina Loca,6YYmoV9YbBefsspGmqFHbs
Reggaeton,Wolfine,Escápate Conmigo - Remix,4aEOz6ZpXh3wF4FOdJHOPV
Reggaeton,Dany Ome,Paciente,3tAM927dsz0sT2xYcaPD9W
Reggaeton,Calle 13,Atrévete-Te-Te,1q8NdCAQ9QUjpYiqzdd3mv
Reggaeton,Fresh Bodden,LAS XII,040CeSVj4n3aDCEsscMvJL
Reggaeton,Tego Calderón,Punto y Aparte,388YhDYxPvaDIZQHWqpB4E
Reggaeton,Wisin & Yandel,Rakata,1kQqiC1rS1FiuVpeBKN0QN
Reggaeton,Carlitos Rossy,Para No Molestar,6A844n6sWp3ziSN1eeoNy1
Reggaeton,Yandel,Encantadora,7LABrQFfRYcZUqUwng0Heb
Reggaeton,Daddy Yankee,Perros Salvajes,4oROqjxNSBrVxrcSaW77Mc
Reggaeton,José de Rico,Obra de Arte,2Ps1M0KOSIReGSZq6x3WSQ
Reggaeton,J Alvarez,La Pregunta,2Ob4mHihtOGbx6jnCredFX
Reggaeton,Tainy,Adicto (with Anuel AA & Ozuna),3jbT1Y5MoPwEIpZndDDwVq
Reggaeton,Marc Magán,Qué Trae?,3ycu9wIC3tYtcCINPW1OE7
Reggaeton,Don Omar,Guaya Guaya,79zvVrn65ksbiGQxrtV4I5
Reggaeton,"Héctor ""El Father""",Noche de Travesura,722VXxX3L2sU3cwB9f5y9V
Reggaeton,Armez,PARCE,6apF3EZwfAXQgSJcZO6Nu6
Reggaeton,Maluma,Borro Cassette,6DUdDIRgLqCGq1DwkNWQTN
Reggaeton,Plan B,Te Dijeron,7f3HHxwVIJdQJmJxjEsOm0
Reggaeton,Menaay,Carisimo,48foqxL1HWZxhx0oVPrnes
Reggaeton,Arcángel,Hace Mucho Tiempo,0a6ogDrZBvYgDjILgsQVaJ
Reggaeton,Wisin & Yandel,Besos Mojados,0cpzO8YjhyR8JfLzfm5cOr
Reggaeton,Kevin El Padrino,Enfermera,36JCAC8xtHQeqCocsBUcST
Reggaeton,Anuel AA,Sola (Remix),5q2JbCNi4FcnglgPfxcV65
Reggaeton,Anuel AA,China,2ksOAxtIxY8yElEWw8RhgK
Reggaeton,J Alvarez,Bailando Así,77hVJfkN7uMRsWRgM1U1gh
Reggaeton,Daddy Yankee,Tu Príncipe,2FNqnsX74ZlwduUAcnmzee
Reggaeton,Gavetti,OTRA NOCHE,4tMhyqFW6BJbDwlNP3l2lI
Reggaeton,Cali Y El Dandee,Por Fin Te Encontré,2DAULesb1U4Qz4FSTZpEUJ
Reggaeton,Nicky Jam,Hasta el Amanecer,5Fim1gaXBgsiFfsQAfQSDS
Reggaeton,Bad Gyal,La Iniciativa,0xkAVq1FYLRl2XMOBLmGLX
Reggaeton,Don Omar,Salió El Sol,48NXpYRuvv9izul4oXhqS9
Reggaeton,Luny Tunes,Mayor Que Yo 3,4777sGsOdoM89vPH3CVoLe
Reggaeton,Carlitos Rossy,Mary Jane,3MtBtDJNwXHfXl7e9Pl2ug
Reggaeton,Don Omar,Virtual Diva,5nJaS3PEpyPfaWiLxIGtRX
Reggaeton,Nicky Jam,X,5YUyW9opqNsMSEzzecZih1
Reggaeton,LonZack,Mala Vida,3oC1e6vQoIxLuCQ2z83BQ8
Reggaeton,Wisin & Yandel,Me Estas Tentando,7JVIiaJPFiZypYSOMREhhA
Reggaeton,Manuel Luces,Malvada,5KHJnXnyNt320CevEwSqJ4
